,INTERCOLUMNAR_DISTANCE,UPPER_MARGIN,LOWER_MARGIN,EXPLOITATION,MODULAR_RATIO,INTERLINEAR_SPACING,WEIGHT,PEAK_NUMBER,CLASS
0,0.266074,-0.16562,0.32098,0.483299,0.273364,0.371178,0.929823,0.251173,A
2,-0.116585,0.069915,0.068476,-0.783147,0.439463,-0.081827,-0.888236,-0.123005,A
4,0.229043,0.807926,-0.052442,0.082634,0.14879,0.635431,0.051062,0.032902,F
7,0.019197,-0.040001,0.288973,-0.042597,-1.013906,0.069175,0.890701,0.095265,F
8,0.500607,0.140576,0.388552,-0.637358,-0.681707,0.295677,0.931046,0.500624,H
9,-0.252367,0.069915,0.246296,0.52355,-1.22153,0.899684,1.373076,0.62535,E
12,0.043885,-0.173471,0.285416,-0.775121,-0.391033,0.333428,-1.807711,-0.996086,F
13,0.15498,0.336855,0.068476,0.021525,0.024215,0.031425,0.079292,0.313536,A
16,-0.00549,-0.322644,0.100483,-0.519439,-0.307984,0.069175,-0.574114,0.282354,A
18,-0.091897,0.2976,0.079145,0.196496,-0.183409,0.220177,0.305093,-0.278912,F
20,-0.00549,0.478177,0.029355,-0.247644,1.062336,0.333428,-0.670454,0.095265,A
21,0.438888,0.195534,0.14316,-0.809435,-1.138481,-0.232828,-0.087894,-0.278912,F
22,0.364825,-0.047852,-0.038216,0.327813,0.439463,0.484429,-0.964306,-0.933723,A
23,-0.054866,-0.220579,0.466793,-0.21697,-0.930856,0.446679,0.634922,0.313536,D
24,0.290762,0.077766,0.118265,0.275805,-0.432558,0.031425,0.676859,-0.091823,F
25,0.105604,-0.087108,0.367214,1.522618,1.186911,0.635431,0.574967,0.656532,A
26,-0.030178,0.022808,0.157386,-0.771451,1.062336,0.182426,-1.21723,-0.185368,H
29,0.25373,0.336855,0.086258,-0.979571,-1.055431,0.144676,-0.626478,0.064084,G
30,0.463576,0.109171,0.224957,-1.411178,0.06574,0.257927,0.468454,0.282354,A
32,-0.314087,0.164129,0.200063,0.132493,-0.930856,0.144676,-0.899478,-0.746634,E
33,-0.128929,-0.134216,0.264078,0.430695,-0.10036,0.182426,0.363824,-0.154186,F
34,0.241386,-0.157769,0.338762,-1.203923,-0.058835,0.182426,1.066119,0.344717,A
35,-0.030178,-0.220579,0.242739,1.988271,-0.224934,0.182426,1.346147,-0.091823,A
37,-0.252367,0.069915,0.246296,0.52355,-0.806282,-0.044076,1.485336,1.093072,E
39,0.15498,-0.330495,0.299642,-0.333637,-0.723232,0.182426,0.536505,0.095265,F
40,-0.264711,-0.275537,0.384996,1.343918,0.356414,0.220177,-0.647699,-1.183175,A
43,-0.277055,0.030659,0.441898,0.131866,0.190314,0.069175,0.032986,-0.528364,D
45,0.130292,-0.024299,0.246296,0.121006,0.14879,0.408929,0.219723,-0.372457,A
46,0.056229,0.533135,0.185837,0.882801,0.107265,0.597681,0.792167,0.126447,A
47,-0.240024,-0.424709,0.089814,1.094532,1.560634,0.144676,0.39355,0.344717,A
49,0.15498,-0.385453,0.381439,0.314237,0.14879,-0.044076,0.231431,-0.341275,F
50,0.019197,0.038511,0.19295,0.323367,0.231839,0.031425,0.313558,0.251173,F
51,0.204355,-0.275537,0.360101,-0.278884,0.024215,0.182426,-0.656668,-0.590727,A
53,-0.054866,0.179832,0.239183,-1.170087,0.14879,0.446679,1.20787,0.687713,E
60,0.364825,-0.149918,0.171611,0.04277,-0.307984,0.106925,0.456805,-0.310094,F
63,0.006853,0.077766,0.342319,-0.12859,-0.349509,-0.081827,0.319732,0.032902,F
66,-0.00549,0.486028,0.118265,0.446569,-0.141884,0.55993,0.293774,0.282354,G
67,0.031541,0.140576,0.399221,-0.817372,-0.640182,0.446679,0.80236,0.750076,H
70,0.130292,-0.212727,0.324537,0.386474,0.439463,0.144676,-0.650786,-0.154186,F
76,0.229043,-0.016448,0.317424,-0.526838,-0.474083,0.333428,-0.716527,0.001721,F
85,0.15498,-0.236281,0.01513,0.558909,0.480988,-0.006326,0.330799,0.219991,A
87,-0.00549,-0.259834,0.367214,-0.156667,-0.432558,-0.34608,0.103755,0.064084,F
88,0.019197,0.038511,0.19295,0.323367,0.273364,0.106925,-0.216735,-0.091823,F
90,-0.141273,0.729415,0.079145,0.151709,-0.349509,0.295677,0.269757,0.032902,F
94,0.241386,-0.126364,0.417003,0.096091,0.605563,0.597681,0.377648,0.594169,A
95,-0.128929,-0.409007,0.175168,-0.256565,0.564038,0.899684,1.312248,0.750076,E
96,-0.301743,-0.055704,0.210732,-0.147477,1.602159,0.182426,-1.842756,-0.964905,E
98,-0.215336,0.281897,0.107596,0.73922,0.190314,-0.006326,0.359747,0.687713,E
99,0.105604,0.556689,-0.031104,0.619301,-0.224934,0.144676,0.920348,0.282354,A
101,-0.314087,0.540986,-0.041773,0.882562,0.937762,0.069175,0.191299,0.001721,F
105,0.031541,-0.118513,0.374326,-0.066706,0.14879,0.220177,0.681674,0.500624,A
106,0.167323,0.148427,0.278304,-0.289596,-0.806282,0.635431,0.265815,0.594169,H
108,0.229043,-0.22843,0.324537,-0.869141,-1.055431,0.257927,-0.259993,0.001721,F
109,0.031541,0.140576,0.399221,-0.817372,-0.183409,0.371178,0.477948,0.40708,H
111,-0.252367,-0.110662,0.452567,0.888321,1.26996,0.257927,-0.635661,-0.278912,D
